Week,Digital Lync: (India),IMS Proschool: (India)
2020-04-19,0,37
2020-04-26,0,54
2020-05-03,0,72
2020-05-10,0,55
2020-05-17,0,36
2020-05-24,0,18
2020-05-31,0,51
2020-06-07,0,51
2020-06-14,0,17
2020-06-21,17,50
2020-06-28,0,100
2020-07-05,0,0
2020-07-12,0,33
2020-07-19,0,67
2020-07-26,0,66
2020-08-02,0,17
2020-08-09,16,0
2020-08-16,0,16
2020-08-23,16,32
2020-08-30,16,0
2020-09-06,0,32
2020-09-13,0,0
2020-09-20,0,30
2020-09-27,0,47
2020-10-04,0,31
2020-10-11,0,62
2020-10-18,0,48
2020-10-25,0,83
2020-11-01,16,32
2020-11-08,0,0
2020-11-15,0,18
2020-11-22,18,0
2020-11-29,0,86
2020-12-06,52,17
2020-12-13,17,17
2020-12-20,18,53
2020-12-27,17,35
2021-01-03,0,50
2021-01-10,0,52
2021-01-17,17,34
2021-01-24,36,18
2021-01-31,0,35
2021-02-07,0,17
2021-02-14,0,34
2021-02-21,0,51
2021-02-28,17,34
2021-03-07,17,17
2021-03-14,32,64
2021-03-21,0,34
2021-03-28,18,37
2021-04-04,0,53
2021-04-11,0,91
